Cosine,Rh-Rh-Rh,Rh-Rh-C,Rh-Rh-O,Rh-Rh-P,Rh-Rh-H,Rh-Rh-Br,Rh-Rh-F,Rh-Rh-Cl,Rh-Rh-S,Rh-Rh-N,Rh-C-Rh,Rh-C-C,Rh-C-O,Rh-C-P,Rh-C-H,Rh-C-Br,Rh-C-F,Rh-C-Cl,Rh-C-S,Rh-C-N,Rh-O-Rh,Rh-O-C,Rh-O-O,Rh-O-P,Rh-O-H,Rh-O-Br,Rh-O-F,Rh-O-Cl,Rh-O-S,Rh-O-N,Rh-P-Rh,Rh-P-C,Rh-P-O,Rh-P-P,Rh-P-H,Rh-P-Br,Rh-P-F,Rh-P-Cl,Rh-P-S,Rh-P-N,Rh-H-Rh,Rh-H-C,Rh-H-O,Rh-H-P,Rh-H-H,Rh-H-Br,Rh-H-F,Rh-H-Cl,Rh-H-S,Rh-H-N,Rh-Br-Rh,Rh-Br-C,Rh-Br-O,Rh-Br-P,Rh-Br-H,Rh-Br-Br,Rh-Br-F,Rh-Br-Cl,Rh-Br-S,Rh-Br-N,Rh-F-Rh,Rh-F-C,Rh-F-O,Rh-F-P,Rh-F-H,Rh-F-Br,Rh-F-F,Rh-F-Cl,Rh-F-S,Rh-F-N,Rh-Cl-Rh,Rh-Cl-C,Rh-Cl-O,Rh-Cl-P,Rh-Cl-H,Rh-Cl-Br,Rh-Cl-F,Rh-Cl-Cl,Rh-Cl-S,Rh-Cl-N,Rh-S-Rh,Rh-S-C,Rh-S-O,Rh-S-P,Rh-S-H,Rh-S-Br,Rh-S-F,Rh-S-Cl,Rh-S-S,Rh-S-N,Rh-N-Rh,Rh-N-C,Rh-N-O,Rh-N-P,Rh-N-H,Rh-N-Br,Rh-N-F,Rh-N-Cl,Rh-N-S,Rh-N-N
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01715835336684405,0.0010087470317381218,0.0,0.006070598568576293,0.0,0.0,0.0,0.0,0.0008113095878529846,0.0,0.0013958143217244646,1.6960278951814e-05,0.0,0.0,0.0,0.0,0.0,0.0,7.061761420985203e-14,0.0,0.0009802297267830205,0.0,0.0,0.0071861685113301585,0.0,0.0,0.0,0.0,0.0017552729689262114,0.0,0.013307631597859589,0.001853494398704323,0.0,0.006732041724072904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02512562814070352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025791242052521528,6.439449760022944e-06,0.0,0.015656701443669586,0.0,0.0,0.0,0.0,3.887004080084662e-05,0.0,0.0008616117467599352,0.0012652194542429323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009849537150796374,0.0,0.0,0.0010413914756728527,0.0,0.0,0.0,0.0,0.0008872214607078597,0.0,0.02321314804421417,0.0008763366763867658,0.0,0.007524685029855851,0.0,0.0,0.0,0.0,2.616467720920536e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05025125628140704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021094362751588016,1.3012680068995474e-10,0.0,0.018242948355927175,0.0,0.0,0.0,0.0,8.389545030909352e-09,0.0,0.0016617048776266625,0.0011736115247364936,0.0,5.6135755525827165e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.00037344090360262095,0.0,0.0,0.0008548997844358267,0.0,0.0,0.0,0.0,2.0607031402619807e-05,0.0,0.017719904730446847,0.003683514297068549,0.0,0.007603116019727132,0.0,0.0,0.0,0.0,5.260504044271113e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.07537688442211056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028928161469075477,6.1036189141984054e-18,0.0,0.016147950139799604,0.0,0.0,0.0,0.0,4.380064643750791e-15,0.0,0.0001746478810172852,1.2876364595374506e-05,0.0,1.0861685203165832e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0006198107563089104,0.0,0.0,0.008057132621618253,0.0,0.0,0.0,0.0,2.6616135119579894e-09,0.0,0.021631279639257758,0.000858052711089556,0.0,0.005837760322238772,0.0,0.0,0.0,0.0,2.352502900884567e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.10050251256281408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01620588127697187,0.0,0.0,0.02204999977865007,0.0,0.0,0.0,0.0,0.0,0.0,1.215424096922437e-07,4.815132843932395e-10,0.0,4.654441244662811e-06,0.0,0.0,0.0,0.0,0.0,0.0,9.131609084175751e-05,0.0,0.0,0.004944779362043049,0.0,0.0,0.0,0.0,1.673017236072941e-14,0.0,0.030348667729888323,1.4366877874040629e-06,0.0,0.014853807715390226,0.0,0.0,0.0,0.0,0.0003368524574159023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1256281407035176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018180670034729098,6.03159471098324e-17,0.0,0.02174477120497503,0.0,0.0,0.0,0.0,0.0,0.0,2.194575927602406e-13,4.057111395908351e-17,0.0,0.000641755849186341,0.0,0.0,0.0,0.0,0.0,0.0,0.0009880973390436476,0.0,0.0,0.003977477282754417,0.0,0.0,0.0,0.0,1.7873208604104197e-08,0.0,0.023482489986821238,3.334874647251284e-07,0.0,0.00930178542356034,0.0,0.0,0.0,0.0,0.0005072576869595923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15075376884422112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01138152154457693,5.262058616387968e-10,0.0,0.03525176089007694,0.0,0.0,0.0,0.0,0.0,0.0,2.6027429801741735e-14,0.0,0.0,0.0009400041530862632,0.0,0.0,0.0,0.0,0.0,0.0,0.0002183827616421363,0.0,0.0,0.008040093550334517,0.0,0.0,0.0,0.0,4.990471299819192e-05,0.0,0.013175270217890117,0.0003577664676665033,0.0,0.02769697040051738,0.0,0.0,0.0,0.0,1.051996914438501e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.17587939698492464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01204114466379308,1.0457386489818588e-05,0.0,0.02945985294450671,0.0,0.0,0.0,0.0,0.0,0.0,2.4602659912699017e-08,0.0,0.0,0.00014814918862581297,0.0,0.0,0.0,0.0,0.0,0.0,5.8001299206004654e-05,0.0,0.0,0.0009324195891637494,0.0,0.0,0.0,0.0,0.0006948999242833847,0.0,0.012778189275986609,0.002379266635689237,0.0,0.03595366461203699,0.0,0.0,0.0,0.0,8.257351086365558e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.20100502512562815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02449867614278782,0.0007386115042912863,0.0,0.049851199415421085,0.0,0.0,0.0,0.0,0.0,0.0,5.8282404114369906e-05,0.0,0.0,0.00141450825746652,0.0,0.0,0.0,0.0,0.0,0.0,0.0013682408646098264,7.442335454243223e-18,0.0,0.00629082163227385,0.0,0.0,0.0,0.0,0.00016368369488838712,0.0,0.03071309966627819,0.0002753733117983964,0.0,0.031105643596659408,0.0,0.0,0.0,0.0,1.5007721800793723e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.22613065326633167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01094439158879205,0.0010528465821549363,0.0,0.036122118577374455,0.0,0.0,0.0,0.0,0.0,0.0,0.0007131213959607016,0.0,0.0,0.001235054589092694,0.0,0.0,0.0,0.0,0.0,0.0,0.0018276189579415135,1.349006681000602e-10,0.0,0.010603052900728683,0.0,0.0,0.0,0.0,2.779908459800045e-07,0.0,0.022991388663024134,7.152829790081914e-06,0.0,0.013766461430286684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
